CCN,REPORT_DAT,START_DATE,END_DATE,SHIFT,OFFENSE,BLOCK,WARD,DISTRICT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE,hour,day,month,weekday,time_period,crime_count,crime_type,crime_date,crime_hour,year,day_night,area,risk_level
24199027,2024-12-25 07:40:42+00:00,2024-12-25 03:50:00+00:00,,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1953 - 2099 BLOCK OF 19TH PLACE SE,8.0,7.0,Cluster 28,38.8646640502,-76.9775289645,3.0,25.0,12,Wednesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-12-25 07:40:42+00:00,7,2024,Day,Cluster 28,Medium
24193241,2024-12-14 07:07:32+00:00,2024-12-14 04:01:00+00:00,2024-12-14 05:17:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1900 - 2199 BLOCK OF SAVANNAH TERRACE SE,8.0,7.0,Cluster 38,38.848136645,-76.9761390018,4.0,14.0,12,Saturday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-12-14 07:07:32+00:00,7,2024,Day,Cluster 38,High
24198141,2024-12-23 09:46:09+00:00,2024-12-23 07:34:00+00:00,2024-12-23 09:00:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2900 - 2999 BLOCK OF 30TH STREET SE,8.0,7.0,Cluster 36,38.8542163543,-76.9656825354,7.0,23.0,12,Monday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-12-23 09:46:09+00:00,9,2024,Day,Cluster 36,High
24093047,2024-06-19 04:08:46+00:00,2024-06-19 01:45:00+00:00,2024-06-20 03:00:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,5200 - 5299 BLOCK OF 11TH STREET NE,5.0,4.0,Cluster 19,38.9550074118,-76.9915556582,1.0,19.0,6,Wednesday,Night,1,ASSAULT W/DANGEROUS WEAPON,2024-06-19 04:08:46+00:00,4,2024,Night,Cluster 19,Medium
24095545,2024-06-23 09:01:27+00:00,2024-06-23 07:39:00+00:00,2024-06-23 08:38:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,2600 - 2799 BLOCK OF JASPER STREET SE,8.0,7.0,Cluster 36,38.8517469483,-76.9692371871,7.0,23.0,6,Sunday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-06-23 09:01:27+00:00,9,2024,Day,Cluster 36,High
24106026,2024-07-11 08:48:13+00:00,2024-07-11 07:24:00+00:00,2024-07-11 11:00:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,268 - 299 BLOCK OF 19TH STREET SE,7.0,1.0,Cluster 26,38.8857460827,-76.9772663348,7.0,11.0,7,Thursday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-07-11 08:48:13+00:00,8,2024,Day,Cluster 26,Medium
24193428,2024-12-14 17:34:58+00:00,2024-12-14 16:41:00+00:00,2024-12-14 17:55:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,5000 - 5099 BLOCK OF 1ST STREET NW,4.0,4.0,Cluster 19,38.9515801925,-77.0118319853,16.0,14.0,12,Saturday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-12-14 17:34:58+00:00,17,2024,Day,Cluster 19,Medium
24150726,2024-09-29 09:51:27+00:00,2024-09-29 08:30:00+00:00,2024-09-29 08:58:00+00:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,1800 - 1841 BLOCK OF 6TH STREET NW,2.0,3.0,Cluster 3,38.9147760341,-77.0198992467,8.0,29.0,9,Sunday,Morning,1,ASSAULT W/DANGEROUS WEAPON,2024-09-29 09:51:27+00:00,9,2024,Day,Cluster 3,Medium
24019455,2024-02-07 17:46:23+00:00,2024-02-07 15:15:00+00:00,,DAY,ASSAULT W/DANGEROUS WEAPON,230 - 499 BLOCK OF 37TH STREET SE,7.0,6.0,Cluster 32,38.885085368,-76.9527702205,15.0,7.0,2,Wednesday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-02-07 17:46:23+00:00,17,2024,Day,Cluster 32,High
24081090,2024-05-29 18:17:53+00:00,2024-05-29 16:44:00+00:00,2024-05-29 18:42:00+00:00,DAY,ASSAULT W/DANGEROUS WEAPON,3700 - 3799 BLOCK OF HORNER PLACE SE,8.0,7.0,Cluster 39,38.837067867,-77.0043606026,16.0,29.0,5,Wednesday,Afternoon,1,ASSAULT W/DANGEROUS WEAPON,2024-05-29 18:17:53+00:00,18,2024,Night,Cluster 39,High
